condition,scenario,planner,k_samples,episodes,successes,success_rate,success_wilson_low,success_wilson_high,final_distance_mean,cost_mean,control_ms_mean,control_ms_p95,collision_mean
sensor_noise_nominal,box_align_contact_loss,soppi_fast,256,30,16,0.5333333333333333,0.36142299619873297,0.6976761109230025,0.32927123333333336,4.631213,1.3376516666666667,1.3543349999999998,0.0
sensor_noise_nominal,box_align_detour,diff_mppi_3,256,30,0,0.0,0.0,0.11351339317396876,0.6057182999999999,12.092016666666666,3.3362789999999998,3.344975,0.0
sensor_noise_nominal,box_align_detour,mppi,256,30,0,0.0,0.0,0.11351339317396876,0.6077181666666667,12.083879999999999,0.15733076666666665,0.1770913,0.0
sensor_noise_nominal,box_align_detour,soppi_fast,256,30,0,0.0,0.0,0.11351339317396876,0.6071145333333334,12.08453,1.8552273333333333,1.9091325,0.0
sensor_noise_nominal,box_align_strict,diff_mppi_3,256,30,23,0.7666666666666667,0.5907167384187784,0.8820761185551049,0.27200830000000004,3.309660666666667,2.4069533333333335,2.429291,0.0
sensor_noise_nominal,box_align_strict,mppi,256,30,16,0.5333333333333333,0.36142299619873297,0.6976761109230025,0.3304145,4.329737333333333,0.09798488666666666,0.10126125,0.0
sensor_noise_nominal,box_align_strict,soppi_fast,256,30,17,0.5666666666666667,0.3919730700081361,0.7262251442353347,0.30282763333333335,3.414419666666667,1.3014763333333332,1.3095415,0.0
sensor_noise_nominal,box_swivel,diff_mppi_3,256,30,0,0.0,0.0,0.11351339317396876,0.29834496666666666,2.555928,2.408514,2.4295345,0.0
sensor_noise_nominal,box_swivel,mppi,256,30,0,0.0,0.0,0.11351339317396876,0.30300896666666666,2.6185696666666667,0.09813605333333333,0.10368744999999999,0.0
sensor_noise_nominal,box_swivel,soppi_fast,256,30,0,0.0,0.0,0.11351339317396876,0.29586023333333333,2.4416569999999997,1.29332,1.3049495000000002,0.0
